Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.95,9.28,0.0,88.21,95.59247,0.00032350398,0.0,1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.95,9.28,0.0,88.21,96.69435,0.00027681043,0.0,1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.95,9.28,0.0,88.21,97.796234,0.00023011692,0.0,1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.95,9.28,0.0,88.21,98.89812,0.00018342338,0.0,1.0,0.8064799463209448,-0.5912614448635781
2025-05-08 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.4,9.19,0.0,90.54,100.0,0.00013672985,0.2588190451025207,0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.4,9.19,0.0,90.54,100.0,0.00015992523,0.2588190451025207,0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.4,9.19,0.0,90.54,100.0,0.0001831206,0.2588190451025207,0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.4,9.19,0.0,90.54,100.0,0.00020631599,0.2588190451025207,0.9659258262890684,0.8064799463209448,-0.5912614448635781
2025-05-08 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.21,9.2,0.0,91.77,100.0,0.00022951137,0.4999999999999999,0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.21,9.2,0.0,91.77,100.0,0.00028963407,0.4999999999999999,0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.21,9.2,0.0,91.77,100.0,0.00034975677,0.4999999999999999,0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.21,9.2,0.0,91.77,100.0,0.0004098795,0.4999999999999999,0.8660254037844387,0.8064799463209448,-0.5912614448635781
2025-05-08 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.08,9.26,0.0,93.14,100.0,0.00047000218,0.7071067811865475,0.7071067811865476,0.8064799463209448,-0.5912614448635781
2025-05-08 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.08,9.26,0.0,93.14,100.0,0.0005285965,0.7071067811865475,0.7071067811865476,0.8064799463209448,-0.5912614448635781
2025-05-08 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.08,9.26,0.0,93.14,100.0,0.00058719085,0.7071067811865475,0.7071067811865476,0.8064799463209448,-0.5912614448635781
