-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 07/01/2021 through 05/11/2025 in LST
Location: Latitude  39.677   Longitude -75.738 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 28.57 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
-END HEADER-
YEAR,MO,DY,HR,T2M,QV2M,RH2M,PRECTOTCORR
2021,7,1,0,24.67,16.69,86.25,0.43
2021,7,1,1,24.58,16.72,86.91,0.42
2021,7,1,2,24.27,16.66,88.25,0.38
2021,7,1,3,23.91,16.36,88.56,0.43
2021,7,1,4,23.17,15.97,90.36,0.51
2021,7,1,5,23.48,16.0,88.84,0.82
2021,7,1,6,24.81,15.25,78.24,1.7
2021,7,1,7,26.51,14.69,68.17,15.72
2021,7,1,8,28.16,14.53,61.2,5.52
2021,7,1,9,29.64,14.58,56.34,0.76
2021,7,1,10,30.65,14.61,53.25,2.5
2021,7,1,11,31.26,14.69,51.68,5.62
2021,7,1,12,31.3,14.97,52.5,6.28
2021,7,1,13,31.41,15.4,53.62,7.38
2021,7,1,14,31.17,15.89,56.02,13.67
2021,7,1,15,30.65,16.5,59.86,35.59
2021,7,1,16,30.22,17.05,63.35,78.57
2021,7,1,17,29.01,17.6,70.11,72.24
2021,7,1,18,27.01,18.1,81.03,29.37
2021,7,1,19,24.93,17.33,87.82,25.17
2021,7,1,20,23.74,17.04,92.78,31.12
2021,7,1,21,23.04,16.85,95.74,23.49
2021,7,1,22,22.71,16.51,95.78,11.32
2021,7,1,23,22.24,15.88,94.79,16.78
2021,7,2,0,21.78,15.37,94.34,27.7
2021,7,2,1,21.35,15.03,94.73,24.69
2021,7,2,2,20.97,14.77,95.29,32.7
2021,7,2,3,20.61,14.55,95.94,41.73
2021,7,2,4,20.35,14.3,95.8,34.62
2021,7,2,5,20.72,14.44,94.54,51.56
2021,7,2,6,21.25,14.61,92.57,77.74
2021,7,2,7,21.62,14.61,90.52,52.96
2021,7,2,8,21.86,14.47,88.35,13.56
2021,7,2,9,22.21,14.14,84.52,2.18
2021,7,2,10,22.69,13.81,80.17,0.37
2021,7,2,11,23.57,13.45,74.04,0.13
2021,7,2,12,24.8,12.97,66.32,0.13
2021,7,2,13,25.96,12.63,60.26,0.24
2021,7,2,14,26.86,12.39,56.04,0.57
2021,7,2,15,27.32,12.24,53.89,1.11
2021,7,2,16,27.11,12.2,54.38,1.79
2021,7,2,17,26.46,12.41,57.46,2.65
2021,7,2,18,24.93,13.04,66.1,2.99
2021,7,2,19,22.4,13.05,77.05,3.02
2021,7,2,20,21.19,12.52,79.66,2.74
2021,7,2,21,20.28,12.31,82.87,1.61
2021,7,2,22,19.4,12.01,85.42,0.52
2021,7,2,23,18.71,11.72,87.04,0.19
2021,7,3,0,18.12,11.65,89.75,0.18
2021,7,3,1,17.4,11.63,93.73,0.33
2021,7,3,2,16.89,11.57,96.32,0.78
2021,7,3,3,16.37,11.45,98.55,1.51
2021,7,3,4,15.98,11.3,99.74,2.17
2021,7,3,5,17.14,11.57,94.86,3.28
2021,7,3,6,18.53,12.04,90.45,5.95
2021,7,3,7,20.12,12.33,83.92,6.82
2021,7,3,8,21.57,12.11,75.39,6.34
2021,7,3,9,22.66,11.75,68.46,6.21
2021,7,3,10,23.5,11.57,64.07,7.33
2021,7,3,11,24.09,11.29,60.34,8.14
2021,7,3,12,24.16,10.87,57.85,8.14
2021,7,3,13,24.15,10.65,56.7,5.52
2021,7,3,14,24.16,10.67,56.77,4.05
2021,7,3,15,24.39,10.8,56.67,2.96
2021,7,3,16,24.23,11.07,58.65,2.57
2021,7,3,17,23.58,11.52,63.48,3.2
2021,7,3,18,22.41,12.27,72.6,4.66
2021,7,3,19,20.84,12.85,83.73,5.44
2021,7,3,20,20.17,12.64,85.9,5.97
2021,7,3,21,19.38,12.49,89.17,5.15
2021,7,3,22,18.59,12.39,92.94,3.29
2021,7,3,23,18.05,12.33,95.69,1.64
2021,7,4,0,17.57,12.24,97.92,0.84
2021,7,4,1,17.09,12.09,99.71,0.59
2021,7,4,2,16.67,11.85,100.0,0.41
2021,7,4,3,16.27,11.58,100.0,0.35
2021,7,4,4,15.96,11.35,100.0,0.33
2021,7,4,5,17.43,11.97,96.71,0.41
2021,7,4,6,18.95,12.48,91.65,0.82
2021,7,4,7,21.48,12.23,76.83,0.27
2021,7,4,8,23.5,11.69,64.99,0.44
2021,7,4,9,24.97,11.39,57.99,0.68
2021,7,4,10,26.09,11.28,53.74,0.65
2021,7,4,11,27.0,11.12,50.22,0.64
2021,7,4,12,27.61,10.93,47.62,0.59
2021,7,4,13,28.0,10.79,45.95,0.66
2021,7,4,14,28.25,10.67,44.79,0.76
2021,7,4,15,28.3,10.56,44.2,0.52
2021,7,4,16,28.07,10.59,44.93,0.27
2021,7,4,17,27.76,10.87,46.96,0.26
2021,7,4,18,26.65,11.4,52.58,0.06
2021,7,4,19,24.62,11.58,60.27,0.04
2021,7,4,20,23.12,11.88,67.69,0.09
2021,7,4,21,21.86,12.35,75.98,0.19
2021,7,4,22,20.94,12.49,81.32,0.22
2021,7,4,23,20.26,12.44,84.47,0.23
2021,7,5,0,19.81,12.48,87.14,0.26
2021,7,5,1,19.55,12.63,89.61,0.29
2021,7,5,2,19.36,12.91,92.68,0.26
2021,7,5,3,19.06,13.23,96.78,0.32
2021,7,5,4,18.86,13.54,100.0,0.42
2021,7,5,5,20.05,14.12,97.16,0.44
2021,7,5,6,22.01,14.76,90.05,0.92
2021,7,5,7,24.89,13.76,70.64,0.0
2021,7,5,8,27.32,12.66,56.35,0.0
2021,7,5,9,28.84,12.43,50.64,0.0
2021,7,5,10,29.83,12.62,48.55,0.0
2021,7,5,11,30.62,12.67,46.58,0.0
2021,7,5,12,31.16,12.64,45.05,0.0
2021,7,5,13,31.44,12.61,44.22,0.0
2021,7,5,14,31.52,12.69,44.29,0.0
2021,7,5,15,31.28,12.8,45.27,0.0
2021,7,5,16,30.68,13.13,48.04,0.0
2021,7,5,17,29.68,13.53,52.41,0.0
2021,7,5,18,27.7,14.48,62.88,0.0
2021,7,5,19,25.54,13.97,68.94,0.0
2021,7,5,20,24.74,13.78,71.37,0.0
2021,7,5,21,23.84,13.85,75.74,0.0
2021,7,5,22,22.93,14.11,81.52,0.0
2021,7,5,23,22.4,14.47,86.32,0.0
2021,7,6,0,22.09,14.94,90.78,0.0
2021,7,6,1,21.92,15.5,95.11,0.0
2021,7,6,2,22.03,15.91,96.95,0.0
2021,7,6,3,22.24,15.92,95.78,0.0
2021,7,6,4,22.13,15.92,96.44,0.0
2021,7,6,5,22.9,16.02,92.6,0.0
2021,7,6,6,24.09,16.17,86.97,0.0
2021,7,6,7,26.06,15.86,75.88,0.68
2021,7,6,8,28.53,15.6,64.58,1.08
2021,7,6,9,30.91,15.56,56.15,1.11
2021,7,6,10,32.24,15.9,53.17,0.96
2021,7,6,11,32.95,16.02,51.44,1.29
